gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2862500609	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/58528653	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Alajuela	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.293973	-84.311829	31199.0						2020-09-04T12:18:54	4	9	2020	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	58528653		Jimmy Barrantes	2020-09-04T18:26:16	CC_BY_NC_4_0	Jimmy Barrantes	Jimmy Barrantes			2020-10-25T15:43:27.858Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2851290613	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/56352076	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Limón	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.485501	-83.504336	31189.0						2019-04-19T15:31:00	19	4	2019	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	56352076		Guenther Eichhorn	2020-08-13T20:10:13	CC_BY_NC_4_0	Guenther Eichhorn	Guenther Eichhorn			2020-10-25T15:43:01.059Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2845294372	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/169189457	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus	ambiguus	SUBSPECIES	Ara ambiguus ambiguus	Ara ambiguus ambiguus		CR	Costa Rica - Pococí		PRESENT	7	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.501265	-83.661127	999.0						2017-08-09T00:00:00	9	8	2017	6170723	5959233	HUMAN_OBSERVATION		Observations	OBS.169189457				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:27.187Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2845178469	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/166949654	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Tortuguero		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.537014	-83.502708	25.0						2019-01-26T00:00:00	26	1	2019	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.166949654				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:26.782Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2845109461	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/185649454	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Tortuguero NP		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.527702	-83.513458	25.0						2020-02-19T00:00:00	19	2	2020	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.185649454				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:12.137Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2845106820	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/176946552	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Pococí		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.566059	-83.520268	1000.0						2019-07-25T00:00:00	25	7	2019	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.176946552				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:17.107Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844817982	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/177180145	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Tortuguero NP		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.529185	-83.505677	1000.0						2019-07-27T00:00:00	27	7	2019	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.177180145				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:24.307Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844740666	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/142439268	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Sarapiquí		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.4502	-84.0684	32.0						2017-07-31T00:00:00	31	7	2017	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.142439268				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:35.135Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844728268	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/168870321	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Tortuguero NP		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.527935	-83.5112	25.0						2019-03-22T00:00:00	22	3	2019	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.168870321				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:27.681Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2844722701	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/168336237	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Pococí		PRESENT	4	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.59349	-83.527199	25.0						2019-02-10T00:00:00	10	2	2019	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.168336237				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:38.685Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
